 ,Pressure P = 5 MPa,,,,,,Pressure P = 10 MPa,,,,,Pressure P = 15 MPa,,
Temp,density,energy,enthalpy,entropy,,density,energy,enthalpy,entropy,,density,energy,enthalpy,entropy
deg C,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K),,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K),,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K)
20,1000.4,83.609,88.607,0.29543,,1002.7,83.308,93.281,0.29435,,1004.9,83.007,97.934,0.29323
40,994.36,166.92,171.95,0.57046,,996.52,166.33,176.36,0.56851,,998.65,165.75,180.77,0.56656
60,985.33,250.29,255.36,0.82865,,987.48,249.42,259.55,0.82602,,989.6,248.58,263.74,0.8234
80,973.97,333.82,338.95,1.0723,,976.17,332.69,342.94,1.0691,,978.35,331.59,346.92,1.0659
100,960.63,417.64,422.85,1.3034,,962.93,416.23,426.62,1.2996,,965.2,414.85,430.39,1.2958
120,945.49,501.9,507.19,1.5236,,947.94,500.18,510.73,1.5191,,950.35,498.49,514.28,1.5148
140,928.63,586.79,592.18,1.7344,,931.28,584.71,595.45,1.7293,,933.87,582.69,598.75,1.7243
160,910.05,672.55,678.04,1.9374,,912.95,670.06,681.01,1.9315,,915.79,667.63,684.01,1.9259
180,889.65,759.46,765.08,2.1338,,892.88,756.48,767.68,2.1271,,896.04,753.58,770.32,2.1206
200,867.26,847.91,853.68,2.3251,,870.94,844.31,855.8,2.3174,,874.5,840.84,857.99,2.31
220,842.58,938.39,944.32,2.5127,,846.84,934,945.81,2.5037,,850.95,929.8,947.43,2.4951
240,815.1,1031.6,1037.7,2.6983,,820.18,1026.1,1038.3,2.6876,,825.03,1021,1039.2,2.6774
260,784.03,1128.5,1134.9,2.8841,,790.3,1121.6,1134.3,2.871,,796.2,1115.1,1134,2.8586
,,,,,,,,,,,,,,
 ,Pressure P = 20 MPa,,,,,,Pressure P = 25 MPa,,,,,Pressure P = 30 MPa,,
Temp,density,energy,enthalpy,entropy,,density,energy,enthalpy,entropy,,density,energy,enthalpy,entropy
deg C,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K),,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K),,kg/m^3,u(kJ/kg),h(kJ/kg),s(kJ/kg.K)
20,1007.1,82.708,102.57,0.29207,,1009.3,82.409,107.18,0.29089,,1011.5,82.112,111.77,0.28968
40,1000.8,165.17,185.16,0.56461,,1002.9,164.61,189.53,0.56265,,1004.9,164.05,193.9,0.56069
60,991.71,247.75,267.92,0.8208,,993.79,246.94,272.09,0.81821,,995.84,246.14,276.26,0.81564
80,980.49,330.5,350.9,1.0627,,982.61,329.44,354.88,1.0595,,984.71,328.4,358.86,1.0564
100,967.44,413.5,434.17,1.292,,969.65,412.17,437.95,1.2883,,971.82,410.87,441.74,1.2847
120,952.72,496.85,517.84,1.5105,,955.05,495.24,521.41,1.5062,,957.35,493.66,525,1.502
140,936.42,580.71,602.07,1.7194,,938.93,578.78,605.41,1.7146,,941.39,576.89,608.76,1.7098
160,918.57,665.27,687.05,1.9203,,921.3,662.98,690.11,1.9148,,923.97,660.74,693.21,1.9094
180,899.12,750.77,773.02,2.1143,,902.13,748.05,775.76,2.1081,,905.07,745.4,778.54,2.102
200,877.97,837.49,860.27,2.3027,,881.33,834.24,862.61,2.2956,,884.62,831.1,865.02,2.2888
220,854.91,925.77,949.16,2.4867,,858.75,921.88,951,2.4786,,862.46,918.14,952.93,2.4707
240,829.67,1016.1,1040.2,2.6676,,834.12,1011.4,1041.3,2.6582,,838.4,1006.9,1042.7,2.6491
260,801.78,1109,1134,2.8469,,807.06,1103.2,1134.2,2.8357,,812.1,1097.8,1134.7,2.825
280,770.52,1205.5,1231.5,3.0265,,777.01,1198.3,1230.5,3.0129,,783.1,1191.5,1229.8,3.0001
300,734.71,1307.1,1334.4,3.2091,,743.02,1297.6,1331.3,3.1919,,750.66,1288.9,1328.9,3.176
320,692.06,1416.6,1445.5,3.3996,,703.49,1403.4,1438.9,3.3764,,713.58,1391.6,1433.7,3.3557
340,637.23,1540.2,1571.6,3.6086,,655.13,1519.4,1557.5,3.5731,,669.7,1502.3,1547.1,3.5438
360,548.01,1703.6,1740.1,3.8787,,589.31,1656.2,1698.6,3.7993,,614.39,1626.7,1675.6,3.7498
